INFO [12-20|14:19:09.052] New local node record                    seq=1 id=a3dc6a456a399bc2 ip=<nil> udp=0 tcp=0
TRACE[12-20|14:19:58.922] << PING/v4                               addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:19:59.439] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:59.439] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:19:59.515] >> PING/v4                               addr=172.19.0.3:30303   err=nil
DEBUG[12-20|14:19:59.544] Revalidated node                         b=13 id=bbdea8a60c2c5a6d
TRACE[12-20|14:19:59.544] << PONG/v4                               addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:20:00.733] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:20:00.733] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:20:01.341] >> NEIGHBORS/v4                          addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:20:01.341] << FINDNODE/v4                           addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:20:01.671] >> NEIGHBORS/v4                          addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:20:01.671] << FINDNODE/v4                           addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:20:03.442] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:20:03.442] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:20:04.716] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:20:04.716] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:20:05.180] >> PING/v4                               addr=172.19.0.3:30303   err=nil
DEBUG[12-20|14:20:05.208] Revalidated node                         b=13 id=bbdea8a60c2c5a6d
TRACE[12-20|14:20:05.208] << PONG/v4                               addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:20:05.292] >> NEIGHBORS/v4                          addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:20:05.292] << FINDNODE/v4                           addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:20:05.662] >> NEIGHBORS/v4                          addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:20:05.662] << FINDNODE/v4                           addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:20:07.439] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:20:07.439] << FINDNODE/v4                           addr=172.19.0.2:30303   err=nil
TRACE[12-20|14:20:08.704] >> NEIGHBORS/v4                          addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:20:08.704] << FINDNODE/v4                           addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:20:09.318] >> NEIGHBORS/v4                          addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:20:09.318] << FINDNODE/v4                           addr=172.19.0.3:30303   err=nil
TRACE[12-20|14:20:10.227] >> NEIGHBORS/v4                          addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:20:10.228] << FINDNODE/v4                           addr=172.19.0.101:30303 err=nil
TRACE[12-20|14:20:11.201] >> PING/v4                               addr=172.19.0.4:30303   err=nil
DEBUG[12-20|14:20:11.229] Revalidated node                         b=15 id=ce186202e190c5f1
TRACE[12-20|14:20:11.229] << PONG/v4                               addr=172.19.0.4:30303   err=nil
TRACE[12-20|14:20:11.966] >> NEIGHBORS/v4                          addr=172.19.0.2:30303   err=nil
